group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,55656585.0,ns,3
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,112703945.0,ns,6
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,165070657.0,ns,9
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,220792675.0,ns,12
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,281015354.0,ns,15
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,336665697.0,ns,18
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,387197351.0,ns,21
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,442984140.0,ns,24
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,489452713.0,ns,27
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,548638820.0,ns,30
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,608528294.0,ns,33
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,657438381.0,ns,36
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,717923381.0,ns,39
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,771679986.0,ns,42
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,817237923.0,ns,45
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,868270746.0,ns,48
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,919747461.0,ns,51
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,983813319.0,ns,54
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,1047083607.0,ns,57
1-threaded Hashing,SHA3-256,10 MiB,10485760,bytes,1108110192.0,ns,60
