group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,93708611.0,ns,2
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,184266889.0,ns,4
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,274707789.0,ns,6
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,365342070.0,ns,8
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,472240087.0,ns,10
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,558625659.0,ns,12
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,644796529.0,ns,14
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,751781530.0,ns,16
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,837150459.0,ns,18
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,937246965.0,ns,20
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1026221517.0,ns,22
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1115950994.0,ns,24
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1206478416.0,ns,26
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1311846097.0,ns,28
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1401588578.0,ns,30
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1493689968.0,ns,32
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1580014948.0,ns,34
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1679303201.0,ns,36
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1745384580.0,ns,38
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1829365578.0,ns,40
