group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,513116048.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,509136793.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,512633855.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,500157793.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,510587271.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,505983106.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,507458229.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,507904705.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,527877922.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,515083443.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,513823914.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,511268888.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,508410473.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,501834113.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,512077532.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,524085337.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,524300701.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,507027392.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,513375184.0,ns,4
12-threaded Hashing,SHA-512,100 MiB,104857600,bytes,512281395.0,ns,4
