group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,165701666.0,ns,6
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,334364083.0,ns,12
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,494621500.0,ns,18
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,658516959.0,ns,24
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,831708917.0,ns,30
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,996804333.0,ns,36
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1159346917.0,ns,42
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1323854750.0,ns,48
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1494263167.0,ns,54
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1658522750.0,ns,60
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1822204250.0,ns,66
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,1995502459.0,ns,72
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,2174145041.0,ns,78
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,2333435125.0,ns,84
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,2488920791.0,ns,90
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,2659523834.0,ns,96
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,2831384875.0,ns,102
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,3001147083.0,ns,108
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,3171894542.0,ns,114
1-threaded Hashing,Whirlpool,10 MiB,10485760,bytes,3325124208.0,ns,120
